x,time_signal
0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,4.985437740233282511e-02
1.000000000000000056e-01,9.933549540403648070e-02
1.500000000000000222e-01,1.483215389398261919e-01
2.000000000000000111e-01,1.966925379247088101e-01
2.500000000000000000e-01,2.443306579140596124e-01
3.000000000000000444e-01,2.911204839760501706e-01
3.500000000000000333e-01,3.369492971007511106e-01
4.000000000000000222e-01,3.817073424922551306e-01
4.500000000000000111e-01,4.252880891137156838e-01
5.000000000000000000e-01,4.675884798802011910e-01
5.500000000000000444e-01,5.085091719206595862e-01
6.000000000000000888e-01,5.479547663579945604e-01
6.500000000000000222e-01,5.858340270852037124e-01
7.000000000000000666e-01,6.220600880456375048e-01
7.500000000000000000e-01,6.565506485566182659e-01
8.000000000000000444e-01,6.892281562478554946e-01
8.500000000000000888e-01,7.200199772191706593e-01
9.000000000000000222e-01,7.488585530559783709e-01
9.500000000000000666e-01,7.756815443756087669e-01
1.000000000000000000e+00,8.004319606128644793e-01
1.050000000000000044e+00,8.230582757890441137e-01
1.100000000000000089e+00,8.435145300449814476e-01
1.150000000000000133e+00,8.617604167553224448e-01
1.200000000000000178e+00,8.777613550782145113e-01
1.250000000000000000e+00,8.914885478317117196e-01
1.300000000000000044e+00,9.029190246254227281e-01
1.350000000000000089e+00,9.120356702131295901e-01
1.400000000000000133e+00,9.188272380692256158e-01
1.450000000000000178e+00,9.232883492287330407e-01
1.500000000000000000e+00,9.254194764672986073e-01
1.550000000000000044e+00,9.252269139338255011e-01
1.600000000000000089e+00,9.227227323841995510e-01
1.650000000000000133e+00,9.179247201998174122e-01
1.700000000000000178e+00,9.108563104092350926e-01
1.750000000000000000e+00,9.015464939651588461e-01
1.800000000000000044e+00,8.900297195620864299e-01
1.850000000000000089e+00,8.763457803121349476e-01
1.900000000000000133e+00,8.605396876278488261e-01
1.950000000000000178e+00,8.426615326910199544e-01
2.000000000000000000e+00,8.227663359156917045e-01
2.050000000000000266e+00,8.009138848414852907e-01
2.100000000000000089e+00,7.771685609201399725e-01
2.149999999999999911e+00,7.515991556835965870e-01
2.200000000000000178e+00,7.242786768060751612e-01
2.250000000000000000e+00,6.952841445952882005e-01
2.300000000000000266e+00,6.646963794691884697e-01
2.350000000000000089e+00,6.325997809944124972e-01
2.400000000000000355e+00,5.990820990807866897e-01
2.450000000000000178e+00,5.642341979429172927e-01
2.500000000000000000e+00,5.281498134549031942e-01
2.550000000000000266e+00,4.909253045376165692e-01
2.600000000000000089e+00,4.526593992297090474e-01
2.650000000000000355e+00,4.134529361035471084e-01
2.700000000000000178e+00,3.734086016956235654e-01
2.750000000000000000e+00,3.326306646275993262e-01
2.800000000000000266e+00,2.912247070990474640e-01
2.850000000000000089e+00,2.492973544361297422e-01
2.900000000000000355e+00,2.069560033818853562e-01
2.950000000000000178e+00,1.643085498135472000e-01
3.000000000000000000e+00,1.214631165702961535e-01
3.050000000000000266e+00,7.852778207119823217e-02
3.100000000000000089e+00,3.561031039769269740e-02
3.150000000000000355e+00,-7.182116492026378515e-03
3.200000000000000178e+00,-4.974316375803515544e-02
3.250000000000000000e+00,-9.196760523469368898e-02
3.300000000000000266e+00,-1.337515809110385312e-01
3.350000000000000089e+00,-1.749928497123202920e-01
3.400000000000000355e+00,-2.155910369743046784e-01
3.450000000000000178e+00,-2.554478760182428698e-01
3.500000000000000000e+00,-2.944674432521348084e-01
3.550000000000000266e+00,-3.325563862429347650e-01
3.600000000000000089e+00,-3.696241442247012454e-01
3.650000000000000355e+00,-4.055831605292645192e-01
3.700000000000000178e+00,-4.403490864487273337e-01
3.750000000000000000e+00,-4.738409760629919698e-01
3.800000000000000266e+00,-5.059814715904032978e-01
3.850000000000000089e+00,-5.366969788454971635e-01
3.900000000000000355e+00,-5.659178324146463268e-01
3.950000000000000178e+00,-5.935784501880279063e-01
4.000000000000000000e+00,-6.196174769147558825e-01
4.049999999999999822e+00,-6.439779164771096687e-01
4.100000000000000533e+00,-6.666072526095072615e-01
4.150000000000000355e+00,-6.874575578181217894e-01
